group_image,individual_image,px_to_cm
A00000059784,beetle_522.png,270
A00000059784,beetle_43.png,270
A00000059784,beetle_605.png,270
A00000049742,beetle_129.png,342
A00000049742,beetle_315.png,342
A00000049742,beetle_298.png,342
A00000049742,beetle_177.png,342
A00000049742,beetle_567.png,342
A00000050023,beetle_59.png,244
A00000050023,beetle_169.png,244
A00000050023,beetle_282.png,244
A00000050023,beetle_277.png,244
A00000050023,beetle_283.png,244
A00000046079,beetle_125.png,231
A00000046079,beetle_531.png,231
A00000046079,beetle_113.png,231
A00000046079,beetle_553.png,231
A00000046079,beetle_19.png,231
A00000041653,beetle_400.png,242
A00000041653,beetle_654.png,242
A00000041653,beetle_335.png,242
A00000041653,beetle_420.png,242
A00000041653,beetle_267.png,242
A00000049746,beetle_301.png,226
A00000049746,beetle_611.png,226
A00000049746,beetle_318.png,226
A00000049746,beetle_291.png,226
A00000049746,beetle_199.png,226
A00000009168,beetle_448.png,274
A00000009168,beetle_454.png,274
A00000009168,beetle_575.png,274
A00000009168,beetle_573.png,274
A00000009168,beetle_566.png,274
A00000033620,beetle_303.png,423
A00000033620,beetle_221.png,423
A00000033620,beetle_231.png,423
A00000033620,beetle_308.png,423
A00000033620,beetle_43.png,423
A00000051168,beetle_251.png,260
A00000051168,beetle_819.png,260
A00000051168,beetle_818.png,260
A00000051168,beetle_1219.png,260
A00000051168,beetle_823.png,260
A00000142976,beetle_224.png,222
A00000142976,beetle_95.png,222
A00000142976,beetle_579.png,222
A00000142976,beetle_10.png,222
A00000142976,beetle_220.png,222
A00000050041,beetle_314.png,243
A00000050041,beetle_312.png,243
A00000050041,beetle_315.png,243
A00000050041,beetle_75.png,243
A00000050041,beetle_181.png,243
A00000051601,beetle_107.png,337
A00000051601,beetle_40.png,337
A00000051601,beetle_112.png,337
A00000051601,beetle_237.png,337
A00000051601,beetle_317.png,337
A00000033602,beetle_59.png,394
A00000033602,beetle_31.png,394
A00000033602,beetle_314.png,394
A00000033602,beetle_49.png,394
A00000033602,beetle_73.png,394
A00000033634,beetle_891.png,376
A00000033634,beetle_396.png,376
A00000033634,beetle_667.png,376
A00000033634,beetle_365.png,376
A00000033634,beetle_673.png,376
A00000033635,beetle_189.png,354
A00000033635,beetle_246.png,354
A00000033635,beetle_78.png,354
A00000033635,beetle_61.png,354
A00000033635,beetle_76.png,354
A00000040726,beetle_431.png,336
A00000040726,beetle_306.png,336
A00000040726,beetle_237.png,336
A00000040726,beetle_212.png,336
A00000040726,beetle_318.png,336
A00000046299,beetle_143.png,245
A00000046299,beetle_937.png,245
A00000046299,beetle_346.png,245
A00000046299,beetle_934.png,245
A00000046299,beetle_936.png,245
A00000046305,beetle_50.png,223
A00000046305,beetle_554.png,223
A00000046305,beetle_49.png,223
A00000046305,beetle_978.png,223
A00000046305,beetle_487.png,223
A00000051611,beetle_158.png,295
A00000051611,beetle_107.png,295
A00000051611,beetle_294.png,295
A00000051611,beetle_227.png,295
A00000051611,beetle_346.png,295
A00000056864,beetle_834.png,281
A00000056864,beetle_1139.png,281
A00000056864,beetle_1137.png,281
A00000056864,beetle_286.png,281
A00000056864,beetle_1947.png,281
A00000033668,beetle_223.png,356
A00000033668,beetle_143.png,356
A00000033668,beetle_236.png,356
A00000033668,beetle_239.png,356
A00000033668,beetle_470.png,356
A00000034536,beetle_643.png,411
A00000034536,beetle_449.png,411
A00000034536,beetle_486.png,411
A00000034536,beetle_467.png,411
A00000034536,beetle_454.png,411
A00000033639,beetle_51.png,442
A00000033639,beetle_87.png,442
A00000033639,beetle_113.png,442
A00000033639,beetle_264.png,442
A00000033639,beetle_265.png,442
A00000051175,beetle_388.png,219
A00000051175,beetle_791.png,219
A00000051175,beetle_820.png,219
A00000051175,beetle_688.png,219
A00000051175,beetle_958.png,219
A00000050037,beetle_622.png,353
A00000050037,beetle_683.png,353
A00000050037,beetle_420.png,353
A00000050037,beetle_161.png,353
A00000050037,beetle_403.png,353
A00000049760,beetle_178.png,245
A00000049760,beetle_190.png,245
A00000049760,beetle_448.png,245
A00000049760,beetle_56.png,245
A00000049760,beetle_171.png,245
A00000069267,beetle_169.png,309
A00000069267,beetle_227.png,309
A00000069267,beetle_230.png,309
A00000069267,beetle_258.png,309
A00000051588,beetle_654.png,330
A00000051588,beetle_314.png,330
A00000051588,beetle_178.png,330
A00000051588,beetle_189.png,330
A00000051588,beetle_651.png,330
A00000069247,beetle_227.png,304
A00000069247,beetle_565.png,304
A00000069247,beetle_236.png,304
A00000069247,beetle_549.png,304
A00000069247,beetle_563.png,304
A00000051162,beetle_299.png,279
A00000051162,beetle_279.png,279
A00000051162,beetle_298.png,279
A00000051162,beetle_303.png,279
A00000051162,beetle_474.png,279
A00000051522,beetle_332.png,257
A00000051522,beetle_161.png,257
A00000051522,beetle_293.png,257
A00000051522,beetle_277.png,257
A00000051522,beetle_318.png,257
A00000051596,beetle_1020.png,278
A00000051596,beetle_688.png,278
A00000051596,beetle_914.png,278
A00000051596,beetle_1113.png,278
A00000051596,beetle_1305.png,278
A00000046181,beetle_395.png,243
A00000046181,beetle_203.png,243
A00000046181,beetle_429.png,243
A00000046181,beetle_550.png,243
A00000046181,beetle_537.png,243
A00000046098,beetle_312.png,231
A00000046098,beetle_244.png,231
A00000046098,beetle_330.png,231
A00000046098,beetle_221.png,231
A00000046098,beetle_313.png,231
A00000051559,beetle_596.png,227
A00000051559,beetle_394.png,227
A00000051559,beetle_300.png,227
A00000051559,beetle_1113.png,227
A00000051559,beetle_774.png,227
A00000051185,beetle_167.png,277
A00000051185,beetle_521.png,277
A00000051185,beetle_223.png,277
A00000051185,beetle_683.png,277
A00000051185,beetle_707.png,277
A00000046225,beetle_546.png,270
A00000046225,beetle_898.png,270
A00000046225,beetle_944.png,270
A00000046225,beetle_900.png,270
A00000046225,beetle_540.png,270
A00000059781,beetle_837.png,271
A00000059781,beetle_738.png,271
A00000059781,beetle_541.png,271
A00000059781,beetle_840.png,271
A00000059781,beetle_555.png,271
A00000050014,beetle_183.png,340
A00000050014,beetle_294.png,340
A00000050014,beetle_371.png,340
A00000050014,beetle_387.png,340
A00000050014,beetle_389.png,340
A00000032912,beetle_294.png,360
A00000032912,beetle_293.png,360
A00000032912,beetle_121.png,360
A00000032912,beetle_625.png,360
A00000032912,beetle_366.png,360
A00000049773,beetle_50.png,244
A00000049773,beetle_357.png,244
A00000049773,beetle_361.png,244
A00000049773,beetle_49.png,244
A00000049773,beetle_358.png,244
A00000012429,beetle_928.png,229
A00000012429,beetle_598.png,229
A00000012429,beetle_616.png,229
A00000012429,beetle_972.png,229
A00000046180,beetle_183.png,245
A00000046180,beetle_81.png,245
A00000046180,beetle_392.png,245
A00000046180,beetle_189.png,245
A00000046180,beetle_177.png,245
A00000051623,beetle_227.png,335
A00000051623,beetle_190.png,335
A00000051623,beetle_226.png,335
A00000051623,beetle_72.png,335
A00000051623,beetle_228.png,335
A00000051584,beetle_211.png,342
A00000051584,beetle_120.png,342
A00000051584,beetle_294.png,342
A00000051584,beetle_119.png,342
A00000051584,beetle_81.png,342
A00000050030,beetle_203.png,432
A00000050030,beetle_401.png,432
A00000050030,beetle_440.png,432
A00000050030,beetle_404.png,432
A00000050030,beetle_201.png,432
A00000051534,beetle_473.png,250
A00000051534,beetle_358.png,250
A00000051534,beetle_429.png,250
A00000051534,beetle_336.png,250
A00000051534,beetle_227.png,250
A00000033673,beetle_49.png,221
A00000033673,beetle_178.png,221
A00000033673,beetle_282.png,221
A00000033673,beetle_487.png,221
A00000033673,beetle_283.png,221
A00000041422,beetle_100.png,226
A00000041422,beetle_178.png,226
A00000041422,beetle_176.png,226
A00000041422,beetle_99.png,226
A00000041422,beetle_106.png,226
A00000051575,beetle_441.png,290
A00000051575,beetle_541.png,290
A00000051575,beetle_332.png,290
A00000051575,beetle_437.png,290
A00000051575,beetle_545.png,290
A00000051597,beetle_834.png,255
A00000051597,beetle_937.png,255
A00000051597,beetle_633.png,255
A00000051597,beetle_253.png,255
A00000051597,beetle_818.png,255
A00000046088,beetle_300.png,266
A00000046088,beetle_595.png,266
A00000046088,beetle_598.png,266
A00000046088,beetle_807.png,266
A00000046088,beetle_298.png,266
A00000041399,beetle_305.png,248
A00000041399,beetle_275.png,248
A00000041399,beetle_493.png,248
A00000041399,beetle_129.png,248
A00000041399,beetle_274.png,248
A00000051551,beetle_596.png,296
A00000051551,beetle_595.png,296
A00000051551,beetle_401.png,296
A00000051551,beetle_598.png,296
A00000051551,beetle_129.png,296
A00000046104,beetle_211.png,247
A00000046104,beetle_294.png,247
A00000046104,beetle_683.png,247
A00000046104,beetle_460.png,247
A00000046104,beetle_336.png,247
A00000034542,beetle_371.png,233
A00000034542,beetle_501.png,233
A00000034542,beetle_190.png,233
A00000034542,beetle_363.png,233
A00000034542,beetle_265.png,233
A00000050038,beetle_395.png,321
A00000050038,beetle_211.png,321
A00000050038,beetle_107.png,321
A00000050038,beetle_381.png,321
A00000050038,beetle_208.png,321
A00000033689,beetle_300.png,424
A00000033689,beetle_429.png,424
A00000033689,beetle_293.png,424
A00000033689,beetle_303.png,424
A00000033689,beetle_415.png,424
A00000051627,beetle_688.png,225
A00000051627,beetle_361.png,225
A00000051627,beetle_687.png,225
A00000051627,beetle_779.png,225
